@relation Cities_Above_90_Without_PM10_attributesremoved

@attribute PM2.5 numeric
@attribute NO numeric
@attribute NO2 numeric
@attribute NOx numeric
@attribute NH3 numeric
@attribute CO numeric
@attribute SO2 numeric
@attribute O3 numeric
@attribute AQI numeric

@data
14.43,6.66,16.04,14.03,17.73,0.95,9.76,24.54,61
22.65,4.52,16.8,12.7,19.88,1.18,8.89,29.44,83
28.45,6.68,19.36,15.81,20.7,1.39,9.78,29.76,87
24.94,3.56,19.99,13.29,20.42,1.4,11.98,28.1,97
26.24,4.63,21.34,15.23,24.55,1.68,11.17,27.98,98
30.6,7.16,24.63,18.91,22.37,1.71,11.64,24.36,99
21.81,12.19,23.75,22.67,21.76,1.64,11.8,29.05,94
24.22,9.81,26.49,22.16,21.11,1.68,11.54,26.93,98
19.82,5.45,17.14,13.64,20.62,1.82,12.89,29.25,102
25.11,6.01,21.87,16.61,16.71,1.57,11.73,31.81,96
31.3,9.49,25.22,21.23,18.06,1.48,11.06,35.61,90
27.1,11.58,21.31,20.76,23.69,1.54,10.21,28.77,106
?,?,?,?,?,?,?,?,82
33.28,10.44,32.4,25.96,23.03,1.11,8.91,30.15,88
40.66,4.78,23.58,16.52,21.37,0.76,10.9,38.55,103
40.56,2.56,17.56,11.42,22.66,0.62,11.29,37.87,76
37.93,3.85,20.86,14.32,19.44,0.78,8.91,34.81,68
31.64,2.6,18.65,11.86,24.14,0.66,9.58,39.56,75
22.12,3.73,16.1,11.69,18.14,1.34,10.48,41.51,89
29.25,4.16,17.41,12.79,17.82,0.81,11.24,42.2,79
38.32,3.61,26.27,16.89,18.04,0.65,13.38,25.95,65
35.02,2.84,21.04,13.5,19.86,0.74,6.28,41.37,80
24.29,3.45,13.45,10.13,18.22,0.97,14.1,47.86,81
19.69,3.1,12.18,9,16.71,0.43,12.28,27.91,52
18.81,6.24,14.01,12.61,15.48,0.92,14.67,20.67,89
26.13,8.3,22.94,19.06,19.43,0.82,27,30.84,59
24.08,8.17,27.49,21.37,18.56,0.84,13.47,27.49,62
21.81,6.87,28.22,20.75,19.6,0.62,17.33,25.36,52
14.58,15.55,15.29,20.86,15.78,0.85,14.92,20.11,61
?,10.61,14.9,16.55,16.9,0.84,11.9,25.72,57
8.98,6.59,12.51,12.1,18.93,0.75,8.48,21.47,49
9.7,20.22,13.81,23.79,16.77,0.72,7.25,14.92,48
